,16,32,64,128,256,512
1.1031157125964306,6753.0,2914.0,2093.0,1580.0,,
1.2390417495952692,14914.0,3668.0,2621.0,1983.0,,
1.325245019833285,11051.0,3485.0,2948.0,2124.0,,
1.3900694860332332,2330.0,4753.0,3123.0,2337.0,,
1.442782637154874,9295.0,4634.0,3478.0,2489.0,,
1.4876367643191006,15187.0,4913.0,3764.0,2602.0,,
1.5269542153347715,9895.0,5424.0,3936.0,2745.0,,
1.5621489530997468,4403.0,5854.0,4060.0,2728.0,,
1.5941488800346695,9255.0,5878.0,4084.0,2916.0,,
1.623597385400292,9753.0,5875.0,4347.0,2936.0,,
1.6509598322264463,9967.0,6340.0,4327.0,3023.0,,
1.6765842836220908,8556.0,6802.0,4634.0,3128.0,,
1.7007382607699655,10772.0,6954.0,4678.0,3253.0,,
1.7236320856371394,9364.0,6963.0,4872.0,3365.0,,
1.7454343010180147,9986.0,7588.0,5191.0,3459.0,,
1.7662821993563462,11159.0,7483.0,5401.0,3413.0,,
1.7862892169491495,11192.0,7711.0,5160.0,3753.0,,
1.8055502541763646,13021.0,8188.0,5483.0,3724.0,,
1.8241455851632964,11490.0,8506.0,5691.0,3634.0,,
1.842143784703514,12530.0,8658.0,5803.0,3997.0,,
1.8596039558338098,13244.0,8514.0,5989.0,4127.0,,
1.8765774502724977,13440.0,8917.0,6087.0,4074.0,,
1.8931092148634276,14950.0,9417.0,6519.0,4092.0,,
1.9092388580088284,14036.0,9660.0,6603.0,4248.0,,
1.9250015035706087,14639.0,9843.0,6623.0,4646.0,,
1.940428481443397,15136.0,9971.0,6876.0,4545.0,,
1.955547891183905,15032.0,10345.0,7265.0,4707.0,,
1.9703850659503277,17011.0,11042.0,7259.0,4712.0,,
1.9849629574087697,16888.0,11008.0,7258.0,5128.0,,
1.9993024574354563,18396.0,11083.0,7667.0,4945.0,,
2.0134226688670243,16309.0,12067.0,7907.0,5070.0,,
2.0273411348725188,19871.0,11881.0,7921.0,5162.0,,
2.0410740344937524,20242.0,13205.0,8441.0,5703.0,,
2.054636350352271,18775.0,13200.0,8554.0,5365.0,,
2.0680420133277955,21024.0,12676.0,8820.0,5855.0,,
2.081304028085723,21546.0,14274.0,9315.0,5846.0,,
2.0944345826052677,22920.0,14977.0,9424.0,6266.0,,
2.107445144287359,22715.0,15888.0,9653.0,6447.0,,
2.1203465447671666,23414.0,15750.0,10056.0,6440.0,,
2.1331490551935084,23175.0,15633.0,10758.0,7028.0,,
2.145862453446442,25149.0,18540.0,11346.0,8092.0,,
2.1584960845298165,25521.0,20186.0,12354.0,7858.0,,
2.171058915185821,26963.0,18552.0,13791.0,7582.0,,
2.1835595836246164,29210.0,18357.0,11329.0,9794.0,,
2.1960064451370807,30315.0,18393.0,12981.0,9127.0,,
2.20840761425706,31674.0,22212.0,15659.0,10179.0,,
2.2207710040571813,31032.0,25169.0,15459.0,10805.0,,
2.2331043630958636,34692.0,25249.0,14789.0,11082.0,,
2.245415310480221,35750.0,31380.0,16097.0,14409.0,,
2.2577113694679865,35978.0,26407.0,19420.0,13337.0,,
2.27,35916.0,32624.0,18686.0,15173.0,,
2.2822886305320136,38446.0,34541.0,28055.0,16627.0,,
2.294584689519779,40973.0,29895.0,29749.0,24205.0,,
2.3068956369041365,40602.0,36641.0,31311.0,22193.0,,
2.3192289959428187,43760.0,36164.0,31677.0,19797.0,,
2.33159238574294,41604.0,35176.0,27363.0,18429.0,,
2.3439935548629194,40833.0,37430.0,31230.0,19398.0,,
2.3564404163753836,45149.0,35250.0,25960.0,15844.0,,
2.368941084814179,44216.0,35605.0,25531.0,16936.0,,
2.3815039154701836,44869.0,34136.0,22690.0,16889.0,,
2.394137546553558,45048.0,34478.0,24216.0,16452.0,,
2.4068509448064916,43798.0,35632.0,22826.0,12449.0,,
2.4196534552328335,43950.0,33075.0,22128.0,14279.0,,
2.432554855712641,45035.0,32921.0,22074.0,13883.0,,
2.4455654173947323,45548.0,32079.0,20635.0,14138.0,,
2.458695971914277,44211.0,32381.0,20285.0,13068.0,,
2.4719579866722046,43842.0,31020.0,20077.0,12179.0,,
2.485363649647729,43923.0,31643.0,19312.0,12489.0,,
2.4989259655062477,43997.0,29850.0,19702.0,12977.0,,
2.5126588651274813,41947.0,29042.0,18245.0,11793.0,,
2.526577331132976,43959.0,29526.0,18699.0,12719.0,,
2.5406975425645437,41680.0,28845.0,18795.0,11650.0,,
2.5550370425912305,39576.0,29123.0,17824.0,11300.0,,
2.5696149340496723,40284.0,27938.0,17723.0,12520.0,,
2.584452108816095,41918.0,27334.0,17003.0,11395.0,,
2.599571518556603,42386.0,26702.0,17601.0,11175.0,,
2.6149984964293913,41463.0,27708.0,16951.0,10912.0,,
2.6307611419911714,39788.0,26958.0,17037.0,10874.0,,
2.646890785136572,39089.0,27542.0,16088.0,10574.0,,
2.6634225497275024,39904.0,26390.0,16409.0,10422.0,,
2.6803960441661903,38671.0,26476.0,16082.0,10461.0,,
2.6978562152964862,39365.0,26021.0,16393.0,10425.0,,
2.7158544148367034,39598.0,25263.0,15693.0,10301.0,,
2.7344497458236354,38255.0,25463.0,15965.0,10128.0,,
2.7537107830508507,36543.0,24406.0,15449.0,10011.0,,
2.773717800643654,36991.0,24093.0,14916.0,9551.0,,
2.7945656989819856,37399.0,24705.0,15512.0,9620.0,,
2.8163679143628606,36382.0,23587.0,14688.0,9406.0,,
