,16,32,64,128,256,512
1.3855874807406467,2507.0,4400.0,3203.0,2342.0,1600.0,1189.0
1.5569615638635763,5286.0,5984.0,3970.0,2759.0,1964.0,1403.0
1.6708101488465377,7433.0,6628.0,4662.0,3162.0,2245.0,1591.0
1.7599618836068993,9864.0,7668.0,5001.0,3482.0,2395.0,1736.0
1.835288113355557,12864.0,8487.0,5707.0,3964.0,2627.0,1878.0
1.9018420413119355,14458.0,9327.0,6416.0,4277.0,2844.0,1950.0
1.9624294477020134,15376.0,10706.0,7002.0,4912.0,3144.0,2215.0
2.0187988883133223,17591.0,11659.0,7981.0,5069.0,3447.0,2383.0
2.0721373520927564,21459.0,12968.0,8397.0,6014.0,3914.0,2620.0
2.1233093839394033,22630.0,15862.0,10739.0,6803.0,4580.0,3056.0
2.172985928788037,28078.0,19261.0,12126.0,8220.0,4924.0,3595.0
2.2217206923551807,33183.0,23093.0,15800.0,10835.0,6777.0,4082.0
2.27,37226.0,29829.0,24658.0,21682.0,19092.0,11890.0
2.31827930764482,40863.0,35229.0,31645.0,19155.0,13437.0,6645.0
2.367014071211963,44758.0,36055.0,27406.0,16603.0,10751.0,7341.0
2.4166906160605968,42743.0,34291.0,21421.0,16348.0,9419.0,5671.0
2.4678626479072436,44134.0,31626.0,20560.0,13576.0,8637.0,5776.0
2.5212011116866777,40984.0,29386.0,18595.0,11590.0,7788.0,4918.0
2.577570552297987,42095.0,27253.0,17575.0,11219.0,7263.0,4657.0
2.638157958688065,41306.0,26634.0,17343.0,10707.0,6728.0,4242.0
2.704711886644443,38117.0,26099.0,15581.0,10410.0,6559.0,4210.0
2.780038116393101,37335.0,24845.0,15285.0,9859.0,6302.0,3929.0
2.8691898511534624,35224.0,22681.0,14084.0,9502.0,5773.0,3705.0
2.9830384361364235,33604.0,21370.0,13899.0,8645.0,5575.0,3496.0
3.1544125192593535,31576.0,20888.0,13282.0,8396.0,5359.0,3241.0
