,16,32,64
1.1031157125964306,7071.0,3123.0,2246.0
1.2390417495952692,15363.0,2585.0,2652.0
1.325245019833285,10217.0,4248.0,2914.0
1.3900694860332332,3580.0,4300.0,3203.0
1.442782637154874,9979.0,4846.0,3305.0
1.4876367643191006,14738.0,5086.0,3818.0
1.5269542153347715,10344.0,5190.0,3843.0
1.5621489530997468,4464.0,5402.0,3880.0
1.5941488800346695,10069.0,5658.0,3984.0
1.623597385400292,8942.0,5841.0,4219.0
1.6509598322264463,10258.0,5539.0,4254.0
1.6765842836220908,6062.0,6125.0,4465.0
1.7007382607699655,10527.0,6426.0,4495.0
1.7236320856371394,11755.0,6306.0,4629.0
1.7454343010180147,10558.0,6631.0,4624.0
1.7662821993563462,7548.0,6613.0,4744.0
1.7862892169491495,10049.0,7088.0,4822.0
1.8055502541763646,10039.0,6976.0,4958.0
1.8241455851632964,11935.0,7049.0,5061.0
1.842143784703514,8108.0,7255.0,5156.0
1.8596039558338098,13030.0,7673.0,5212.0
1.8765774502724977,12065.0,7260.0,5267.0
1.8931092148634276,9365.0,7933.0,5447.0
1.9092388580088284,10681.0,7974.0,5442.0
1.9250015035706087,11154.0,8073.0,5454.0
1.940428481443397,12990.0,8108.0,5689.0
1.955547891183905,11259.0,8058.0,5933.0
1.9703850659503277,12592.0,8391.0,6064.0
1.9849629574087697,12833.0,8796.0,5946.0
1.9993024574354563,13857.0,8575.0,6243.0
2.0134226688670243,13664.0,8738.0,6075.0
2.0273411348725188,12537.0,9061.0,6254.0
2.0410740344937524,15179.0,8870.0,6591.0
2.054636350352271,14157.0,9275.0,6454.0
2.0680420133277955,14249.0,9905.0,6444.0
2.081304028085723,14325.0,9935.0,6874.0
2.0944345826052677,12524.0,9249.0,6814.0
2.107445144287359,13375.0,9454.0,7048.0
2.1203465447671666,15315.0,9849.0,7654.0
2.1331490551935084,14367.0,10433.0,7273.0
2.145862453446442,14155.0,10249.0,7319.0
2.1584960845298165,25891.0,10456.0,7798.0
2.171058915185821,15018.0,11272.0,7487.0
2.1835595836246164,15216.0,10620.0,7699.0
2.1960064451370807,15157.0,11034.0,8000.0
2.20840761425706,14742.0,11261.0,8371.0
2.2207710040571813,18228.0,10965.0,8356.0
2.2331043630958636,23799.0,12005.0,8992.0
2.245415310480221,15517.0,12135.0,9523.0
2.2577113694679865,24394.0,11710.0,26371.0
2.27,17741.0,15489.0,9307.0
2.2822886305320136,25642.0,16337.0,33291.0
2.294584689519779,21950.0,18980.0,10005.0
2.3068956369041365,23037.0,18650.0,13517.0
2.3192289959428187,26227.0,11869.0,9203.0
2.33159238574294,21217.0,16877.0,15520.0
2.3439935548629194,24479.0,15048.0,13737.0
2.3564404163753836,23536.0,14606.0,10877.0
2.368941084814179,21648.0,14460.0,9337.0
2.3815039154701836,25025.0,15908.0,10074.0
2.394137546553558,18685.0,14197.0,11530.0
2.4068509448064916,19252.0,17696.0,10096.0
2.4196534552328335,22222.0,13292.0,11376.0
2.432554855712641,21160.0,14150.0,11371.0
2.4455654173947323,22655.0,14465.0,9888.0
2.458695971914277,20696.0,13532.0,9661.0
2.4719579866722046,19539.0,13189.0,10281.0
2.485363649647729,20202.0,14392.0,9884.0
2.4989259655062477,20484.0,13653.0,9338.0
2.5126588651274813,20902.0,14268.0,10395.0
2.526577331132976,19823.0,14155.0,8949.0
2.5406975425645437,20700.0,12796.0,9620.0
2.5550370425912305,19288.0,12576.0,9301.0
2.5696149340496723,18331.0,14204.0,9132.0
2.584452108816095,20216.0,12193.0,10219.0
2.599571518556603,20307.0,14310.0,9510.0
2.6149984964293913,18045.0,13715.0,9427.0
2.6307611419911714,18234.0,13532.0,9779.0
2.646890785136572,19202.0,13529.0,8875.0
2.6634225497275024,18095.0,12406.0,9575.0
2.6803960441661903,19944.0,13164.0,8884.0
2.6978562152964862,18573.0,13077.0,8754.0
2.7158544148367034,17381.0,13067.0,8687.0
2.7344497458236354,20084.0,12740.0,8820.0
2.7537107830508507,16317.0,12857.0,8754.0
2.773717800643654,18993.0,13099.0,8877.0
2.7945656989819856,16631.0,11836.0,8940.0
2.8163679143628606,16880.0,12541.0,8648.0
2.8392617392300346,19856.0,12827.0,8645.0
2.8634157163779093,15955.0,12310.0,8476.0
2.8890401677735538,18711.0,12360.0,8687.0
2.9164026145997077,17298.0,12321.0,8395.0
2.9458511199653303,16863.0,12102.0,8007.0
2.977851046900253,17922.0,12087.0,8462.0
3.0130457846652288,17885.0,11533.0,7991.0
3.0523632356808994,17598.0,12172.0,8052.0
3.097217362845126,17754.0,11395.0,8107.0
3.149930513966767,17081.0,11433.0,8039.0
3.214754980166715,15756.0,12139.0,8184.0
3.300958250404731,16151.0,11652.0,7590.0
3.4368842874035694,17102.0,11458.0,7638.0
